132,R/W,SHORT,内部位置 3 高 16 位
133,R/W,SHORT,内部位置 4 低 16 位
134,R/W,SHORT,内部位置 4 高 16 位
135,R/W,SHORT,内部位置 5 低 16 位
136,R/W,SHORT,内部位置 5 高 16 位
137,R/W,SHORT,内部位置 6 低 16 位
138,R/W,SHORT,内部位置 6 高 16 位
139,R/W,SHORT,内部位置 7 低 16 位
140,R/W,SHORT,内部位置 7 高 16 位
141,R/W,SHORT,内部位置 8 低 16 位
142,R/W,SHORT,内部位置 8 高 16 位
143,R/W,SHORT,内部位置 9 低 16 位
144,R/W,SHORT,内部位置 9 高 16 位
145,R/W,SHORT,内部位置 10 低 16 位
146,R/W,SHORT,内部位置 10 高 16 位
147,R/W,SHORT,内部位置 11 低 16 位
148,R/W,SHORT,内部位置 11 高 16 位
149,R/W,SHORT,内部位置 12 低 16 位
150,R/W,SHORT,内部位置 12 高 16 位
151,R/W,SHORT,内部位置 13 低 16 位
152,R/W,SHORT,内部位置 13 高 16 位
153,R/W,SHORT,内部位置 14 低 16 位
154,R/W,SHORT,内部位置 14 高 16 位
155,R/W,SHORT,内部位置 15 低 16 位
156,R/W,SHORT,内部位置 15 高 16 位
157,R/W,SHORT,力矩模式速度环比例增益
158,R/W,SHORT,力矩模式速度环积分增益
165,R/W,SHORT,力矩模式下力矩的设定
219,R/W,SHORT,力矩模式下力矩保持时间设定
220,R/W,SHORT,力矩模式下力矩到达后锁机状态
213,R,SHORT,电机反馈转速
214,R/W,SHORT,3.3V 电压输入对应的脉冲指令低 16 位
215,R/W,SHORT,3.3V 电压输入对应的脉冲指令高 16 位
216,R,SHORT,当前输入电压对应的位置指令低 16 位
217,R,SHORT,当前输入电压对应的位置指令高 16 位
218,R/W,SHORT,设定不进行模拟量位置调整的指令误差范围
221,R/W,SHORT,多段位置运行模式设定
222,R/W,SHORT,多段位置位移终点段数设定
223,R/W,SHORT,多段位置运行等待时间单位设定
224,R/W,SHORT,第 1 段位移最大运行速度
225,R/W,SHORT,第 1 段位移加减速度
226,R/W,SHORT,第 1 段位移完成后等待时间
227,R/W,SHORT,第 2 段位移最大运行速度
228,R/W,SHORT,第 2 段位移加减速度
229,R/W,SHORT,第 2 段位移完成后等待时间
230,R/W,SHORT,第 3 段位移最大运行速度
231,R/W,SHORT,第 3 段位移加减速度
232,R/W,SHORT,第 3 段位移完成后等待时间
233,R/W,SHORT,第 4 段位移最大运行速度
234,R/W,SHORT,第 4 段位移加减速度
235,R/W,SHORT,第 4 段位移完成后等待时间
236,R/W,SHORT,第 5 段位移最大运行速度
237,R/W,SHORT,第 5 段位移加减速度
238,R/W,SHORT,第 5 段位移完成后等待时间
239,R/W,SHORT,第 6 段位移最大运行速度
240,R/W,SHORT,第 6 段位移加减速度
241,R/W,SHORT,第 6 段位移完成后等待时间
242,R/W,SHORT,第 7 段位移最大运行速度
243,R/W,SHORT,第 7 段位移加减速度
244,R/W,SHORT,第 7 段位移完成后等待时间
245,R/W,SHORT,第 8 段位移最大运行速度
246,R/W,SHORT,第 8 段位移加减速度
247,R/W,SHORT,第 8 段位移完成后等待时间
248,R/W,SHORT,第 9 段位移最大运行速度
249,R/W,SHORT,第 9 段位移加减速度
250,R/W,SHORT,第 9 段位移完成后等待时间
251,R/W,SHORT,第 10 段位移最大运行速度
252,R/W,SHORT,第 10 段位移加减速度
253,R/W,SHORT,第 10 段位移完成后等待时间
254,R/W,SHORT,第 11 段位移最大运行速度
255,R/W,SHORT,第 11 段位移加减速度
256,R/W,SHORT,第 11 段位移完成后等待时间
257,R/W,SHORT,第 12 段位移最大运行速度
258,R/W,SHORT,第 12 段位移加减速度
259,R/W,SHORT,第 12 段位移完成后等待时间
260,R/W,SHORT,第 13 段位移最大运行速度
261,R/W,SHORT,第 13 段位移加减速度
262,R/W,SHORT,第 13 段位移完成后等待时间
263,R/W,SHORT,第 14 段位移最大运行速度
264,R/W,SHORT,第 14 段位移加减速度
265,R/W,SHORT,第 14 段位移完成后等待时间
266,R/W,SHORT,第 15 段位移最大运行速度
267,R/W,SHORT,第 15 段位移加减速度
268,R/W,SHORT,第 15 段位移完成后等待时间
269,R/W,SHORT,第 16 段位移最大运行速度
270,R/W,SHORT,第 16 段位移加减速度
271,R/W,SHORT,第 16 段位移完成后等待时间
272,R/W,SHORT,模拟量输入偏置
273,R/W,SHORT,模拟量输入低通滤波截止频率
274,R/W,SHORT,模拟量输入死区
275,R/W,SHORT,模拟量输入零漂
276,R/W,SHORT,3.3V 电压输入对应的速度指令
277,R,SHORT,DSP 当前采样电压值
278,R,SHORT,经过零漂、死区、偏置处理后的输入电压值
279,R,SHORT,当前电压输入对应的转速
280,R/W,SHORT,Modbus 总线错误计数器
281,R/W,SHORT,Modbus CRC 错误计数器
282,R/W,SHORT,Modbus 接收字节数错误计数器
287,R/W,SHORT,原点复归使能控制
288,R/W,SHORT,原点复归模式
289,R/W,SHORT,高速搜素原点信号的速度
290,R/W,SHORT,低速搜索原点信号的速度
291,R/W,SHORT,搜索原点信号的加减速度
292,R,SHORT,保留
293,R/W,SHORT,机械原点偏移量低 16 位
294,R/W,SHORT,机械原点偏移量高 16 位
295,R/W,SHORT,机械原点偏移量处理方式
296,R/W,SHORT,碰撞回原点检测时间
297,R/W,SHORT,碰撞回原点速度判断阈值
298,R/W,SHORT,碰撞回原点转矩限制
